source_id,date,frp,normal_frp,ratio,industry_name,region
korba_22.0048_82.6706,2025-01-11,11.48,1.85,6.21,Prakash Industries Steel Plant,korba
korba_22.0356_83.3564,2025-04-22,10.43,1.68,6.21,,korba
korba_22.3570_82.3006,2025-02-15,13.05,2.11,6.18,,korba
singrauli_24.1390_82.7038,2025-04-27,6.69,1.08,6.17,Khadia Mine,singrauli
korba_21.8489_82.2738,2025-01-05,31.49,5.16,6.1,,korba
singrauli_24.1590_82.6717,2025-06-11,7.69,1.26,6.1,Dudhichua Mine,singrauli
punjab_30.4964_75.3407,2025-05-14,41.99,6.9,6.09,,punjab
korba_22.3570_82.3006,2025-03-25,12.83,2.11,6.08,,korba
korba_21.8717_82.2532,2025-01-10,30.28,5.01,6.04,,korba
korba_22.3570_82.3006,2025-01-13,12.68,2.11,6.01,,korba
korba_22.3570_82.3006,2025-02-16,12.65,2.11,6.0,,korba
singrauli_24.1641_82.6218,2025-03-31,8.5,1.42,5.99,Nigahi Mine,singrauli
korba_22.3570_82.3006,2025-11-27,12.63,2.11,5.99,,korba
singrauli_24.1590_82.6717,2025-03-03,7.54,1.26,5.98,Dudhichua Mine,singrauli
singrauli_24.1641_82.6218,2025-01-23,8.48,1.42,5.97,Nigahi Mine,singrauli
punjab_30.4361_75.8816,2025-05-18,29.42,4.94,5.96,,punjab
korba_22.3570_82.3006,2025-11-30,12.52,2.11,5.93,,korba
singrauli_24.1649_82.6862,2025-05-10,5.73,0.97,5.91,Dudhichua Mine,singrauli
korba_21.6707_82.3327,2025-01-08,35.99,6.1,5.9,,korba
korba_22.0939_83.1194,2025-04-17,8.44,1.43,5.9,Chhal Coal Mine,korba
singrauli_24.1505_82.5672,2025-04-22,12.49,2.12,5.89,Block - B coal mine,singrauli
singrauli_24.1354_82.7423,2025-06-13,6.63,1.13,5.87,Krishnashila Coal Mine,singrauli
singrauli_24.1590_82.6717,2025-03-02,7.38,1.26,5.86,Dudhichua Mine,singrauli
korba_22.3570_82.3006,2025-02-13,12.34,2.11,5.85,,korba
korba_22.3173_82.5347,2025-12-10,8.98,1.54,5.83,Dipka Open Cast Mine,korba
singrauli_24.1641_82.6218,2025-01-22,8.26,1.42,5.82,Nigahi Mine,singrauli
korba_22.3570_82.3006,2025-11-24,12.2,2.11,5.78,,korba
korba_22.1121_82.3632,2025-12-31,25.59,4.43,5.77,SIPAT STPS,korba
korba_22.3570_82.3006,2025-01-11,12.16,2.11,5.76,,korba
korba_22.0238_82.7689,2025-02-28,28.54,4.98,5.73,Prakash Industries Steel Plant,korba
korba_22.1665_82.5015,2025-12-29,25.71,4.51,5.7,,korba
korba_22.3570_82.3006,2025-03-06,12.01,2.11,5.69,,korba
korba_22.0048_82.6706,2025-01-13,10.52,1.85,5.69,Prakash Industries Steel Plant,korba
punjab_30.2607_75.9083,2025-05-11,33.82,5.94,5.69,,punjab
singrauli_24.1505_82.5672,2025-07-02,12.04,2.12,5.68,Block - B coal mine,singrauli
singrauli_24.1428_82.6776,2025-05-14,5.79,1.02,5.68,Dudhichua Mine,singrauli
korba_21.7584_82.7010,2025-12-30,33.64,5.94,5.67,,korba
korba_21.8784_82.6595,2025-12-25,26.5,4.68,5.66,Prakash Industries Steel Plant,korba
korba_21.8463_83.1742,2025-01-19,26.55,4.69,5.66,Baradarha Power Station,korba
singrauli_24.1641_82.6218,2025-01-08,8.02,1.42,5.65,Nigahi Mine,singrauli
korba_22.0451_82.8891,2025-12-12,22.94,4.06,5.65,,korba
korba_22.3570_82.3006,2025-01-08,11.89,2.11,5.64,,korba
korba_22.3173_82.5347,2025-03-27,8.69,1.54,5.64,Dipka Open Cast Mine,korba
korba_22.3173_82.5347,2025-06-21,8.62,1.54,5.6,Dipka Open Cast Mine,korba
singrauli_24.1505_82.5672,2025-04-17,11.87,2.12,5.6,Block - B coal mine,singrauli
korba_21.8784_82.6595,2025-12-17,26.21,4.68,5.6,Prakash Industries Steel Plant,korba
korba_22.0188_83.3386,2025-02-15,5.53,0.99,5.59,,korba
korba_21.8784_82.6595,2025-12-19,26.05,4.68,5.57,Prakash Industries Steel Plant,korba
singrauli_24.1590_82.6717,2025-03-01,7.0,1.26,5.56,Dudhichua Mine,singrauli
korba_21.7885_82.8002,2025-12-13,28.45,5.14,5.54,,korba
singrauli_24.1505_82.5672,2025-04-15,11.73,2.12,5.53,Block - B coal mine,singrauli
singrauli_24.1505_82.5672,2025-05-02,11.72,2.12,5.53,Block - B coal mine,singrauli
korba_22.3173_82.5347,2025-03-29,8.5,1.54,5.52,Dipka Open Cast Mine,korba
korba_22.3570_82.3006,2025-01-18,11.64,2.11,5.52,,korba
singrauli_24.1505_82.5672,2025-04-21,11.63,2.12,5.49,Block - B coal mine,singrauli
singrauli_24.1641_82.6218,2025-01-06,7.78,1.42,5.48,Nigahi Mine,singrauli
singrauli_24.1825_82.6579,2025-06-13,6.24,1.14,5.47,Jayant Mine,singrauli
korba_22.3289_82.5940,2025-12-29,9.61,1.76,5.46,Gevra Open Cast Mine,korba
korba_21.6904_82.7371,2025-12-30,34.86,6.41,5.44,,korba
singrauli_24.1699_82.7405,2025-04-01,4.23,0.78,5.42,Bina Mine,singrauli
korba_22.3570_82.3006,2025-11-29,11.37,2.11,5.39,,korba
korba_21.6241_82.3440,2025-01-16,34.42,6.4,5.38,,korba
singrauli_24.1825_82.6579,2025-04-14,6.1,1.14,5.35,Jayant Mine,singrauli
singrauli_24.1445_82.6350,2025-04-28,7.3,1.37,5.35,Nigahi Mine,singrauli
singrauli_24.1590_82.6717,2025-03-05,6.74,1.26,5.35,Dudhichua Mine,singrauli
korba_21.9221_83.3485,2025-04-23,15.84,2.97,5.33,Jindal Steel Works,korba
korba_22.0025_82.4714,2025-12-18,20.49,3.85,5.32,,korba
singrauli_24.1445_82.6350,2025-05-03,7.25,1.37,5.31,Nigahi Mine,singrauli
singrauli_24.1505_82.5672,2025-03-03,11.2,2.12,5.28,Block - B coal mine,singrauli
singrauli_24.2066_82.7111,2025-05-17,7.02,1.33,5.28,Jhingurdah Mine,singrauli
punjab_30.9394_75.3117,2025-05-10,35.94,6.83,5.26,Grandfather Food Processing,punjab
korba_21.7011_83.0093,2025-01-21,26.27,4.99,5.26,,korba
singrauli_24.1825_82.6579,2025-05-14,5.99,1.14,5.25,Jayant Mine,singrauli
korba_22.0814_82.6923,2025-01-19,24.05,4.6,5.23,,korba
korba_22.3289_82.5940,2025-05-14,9.19,1.76,5.22,Gevra Open Cast Mine,korba
singrauli_24.1505_82.5672,2025-04-16,11.06,2.12,5.22,Block - B coal mine,singrauli
singrauli_24.1505_82.5672,2025-04-19,11.06,2.12,5.22,Block - B coal mine,singrauli
korba_22.3173_82.5347,2025-05-19,8.04,1.54,5.22,Dipka Open Cast Mine,korba
singrauli_24.1445_82.6350,2025-05-11,7.13,1.37,5.22,Nigahi Mine,singrauli
singrauli_24.1590_82.6717,2025-06-13,6.56,1.26,5.21,Dudhichua Mine,singrauli
punjab_30.3423_75.8687,2025-05-10,25.88,4.96,5.21,Dhuri Sugar Mill,punjab
korba_21.9035_82.5092,2025-12-18,24.18,4.65,5.2,,korba
singrauli_24.2066_82.7111,2025-06-13,6.92,1.33,5.2,Jhingurdah Mine,singrauli
korba_22.3173_82.5347,2025-03-31,7.99,1.54,5.19,Dipka Open Cast Mine,korba
singrauli_24.1641_82.6218,2025-01-09,7.34,1.42,5.17,Nigahi Mine,singrauli
korba_21.9863_82.7428,2025-02-23,25.47,4.93,5.17,Prakash Industries Steel Plant,korba
jamnagar_22.3213_69.8813,2025-11-09,6.95,1.35,5.17,Reliance Refinery,jamnagar
korba_22.3570_82.3006,2025-01-14,10.88,2.11,5.16,,korba
korba_22.0048_82.6706,2025-05-13,9.55,1.85,5.16,Prakash Industries Steel Plant,korba
singrauli_24.1590_82.6717,2025-05-26,6.48,1.26,5.14,Dudhichua Mine,singrauli
singrauli_24.1649_82.6862,2025-05-06,4.99,0.97,5.14,Dudhichua Mine,singrauli
singrauli_24.1505_82.5672,2025-07-03,10.89,2.12,5.14,Block - B coal mine,singrauli
korba_22.3173_82.5347,2025-05-10,7.87,1.54,5.11,Dipka Open Cast Mine,korba
singrauli_24.1641_82.6218,2025-03-02,7.24,1.42,5.1,Nigahi Mine,singrauli
singrauli_24.1505_82.5672,2025-07-07,10.79,2.12,5.09,Block - B coal mine,singrauli
singrauli_24.1641_82.6218,2025-01-20,7.22,1.42,5.08,Nigahi Mine,singrauli
singrauli_24.1641_82.6218,2025-01-24,7.22,1.42,5.08,Nigahi Mine,singrauli
korba_22.0356_83.3564,2025-05-11,8.52,1.68,5.07,,korba
korba_22.3289_82.5940,2025-06-14,8.92,1.76,5.07,Gevra Open Cast Mine,korba
singrauli_24.1641_82.6218,2025-02-09,7.19,1.42,5.06,Nigahi Mine,singrauli
korba_21.6708_82.5032,2025-01-22,32.28,6.38,5.06,,korba
korba_21.9893_82.9707,2025-01-08,25.17,4.98,5.05,Vandana Trailor,korba
singrauli_24.1505_82.5672,2025-05-06,10.68,2.12,5.04,Block - B coal mine,singrauli
singrauli_24.1825_82.6579,2025-05-08,5.74,1.14,5.04,Jayant Mine,singrauli
korba_22.1448_82.5668,2025-12-29,24.3,4.82,5.04,Marwa Thermal Power Plant,korba
punjab_30.2765_75.9260,2025-10-27,34.58,6.89,5.02,Indian Acrylics Limited,punjab
korba_22.3173_82.5347,2025-03-28,7.72,1.54,5.01,Dipka Open Cast Mine,korba
korba_22.3570_82.3006,2025-11-08,10.54,2.11,5.0,,korba
korba_22.3570_82.3006,2025-02-26,10.55,2.11,5.0,,korba
korba_21.9524_82.5141,2025-06-04,18.87,3.78,5.0,,korba
punjab_30.4251_75.9966,2025-05-16,27.68,5.54,4.99,,punjab
singrauli_24.1445_82.6350,2025-05-14,6.81,1.37,4.99,Nigahi Mine,singrauli
korba_22.0356_83.3564,2025-06-08,8.38,1.68,4.99,,korba
singrauli_24.1505_82.5672,2025-05-18,10.56,2.12,4.98,Block - B coal mine,singrauli
korba_21.8140_82.7676,2025-12-18,26.63,5.35,4.98,,korba
korba_22.3289_82.5940,2025-04-24,8.76,1.76,4.98,Gevra Open Cast Mine,korba
singrauli_24.1825_82.6579,2025-06-08,5.67,1.14,4.97,Jayant Mine,singrauli
korba_21.9035_82.5092,2025-01-01,23.11,4.65,4.97,,korba
korba_21.7815_82.8293,2025-12-29,19.88,4.01,4.96,,korba
singrauli_24.1641_82.6218,2025-01-10,7.01,1.42,4.94,Nigahi Mine,singrauli
korba_22.0712_82.3781,2025-12-28,22.1,4.47,4.94,,korba
korba_21.9924_82.2510,2025-02-07,21.52,4.37,4.92,,korba
singrauli_24.1825_82.6579,2025-03-31,5.61,1.14,4.92,Jayant Mine,singrauli
singrauli_24.1905_82.5788,2025-05-16,4.72,0.96,4.92,Block - B coal mine,singrauli
singrauli_24.1505_82.5672,2025-06-13,10.42,2.12,4.92,Block - B coal mine,singrauli
singrauli_24.1505_82.5672,2025-03-30,10.44,2.12,4.92,Block - B coal mine,singrauli
korba_22.3570_82.3006,2025-01-06,10.39,2.11,4.92,,korba
korba_22.3570_82.3006,2025-01-09,10.35,2.11,4.91,,korba
singrauli_24.1428_82.6776,2025-03-18,5.01,1.02,4.91,Dudhichua Mine,singrauli
korba_22.3570_82.3006,2025-12-06,10.37,2.11,4.91,,korba
singrauli_24.1445_82.6350,2025-12-29,6.69,1.37,4.9,Nigahi Mine,singrauli
singrauli_24.1505_82.5672,2025-02-25,10.39,2.12,4.9,Block - B coal mine,singrauli
singrauli_24.4494_83.0391,2025-07-07,4.56,0.93,4.9,Cement Factory,singrauli
korba_21.7815_82.8293,2025-03-02,19.58,4.01,4.88,,korba
punjab_30.5735_75.3985,2025-05-13,35.76,7.32,4.88,,punjab
korba_21.9221_83.3485,2025-10-22,14.48,2.97,4.88,Jindal Steel Works,korba
jamnagar_22.3153_69.8602,2025-04-21,14.54,2.98,4.88,Reliance Refinery,jamnagar
korba_22.3289_82.5940,2025-04-25,8.58,1.76,4.88,Gevra Open Cast Mine,korba
